system,ligand,cnnscore,cnnaffinity
BRD4,ligand-1,0.88360,5.02002
BRD4,ligand-2,0.88361,5.12840
BRD4,ligand-3,0.27020,5.59480
BRD4,ligand-4,0.89451,4.70135
BRD4,ligand-5,0.96950,6.41338
BRD4,ligand-6,0.89433,5.98124
BRD4,ligand-7,0.97619,6.53097
BRD4,ligand-8,0.69490,5.57728
BRD4,ligand-9,0.95365,7.11992
BRD4,ligand-10,0.92608,6.72754
CDK2,4ek4_B_1CK,0.96472,5.25963
CDK2,4fkj_B_11K,0.94533,6.20942
CDK2,3sw4_B_18K,0.99385,7.34501
CDK2,4fko_B_20K,0.99027,7.79858
CDK2,4fkp_B_LS5,0.95331,6.53420
CDK2,4fkw_B_62K,0.99400,7.42755
