lig_gen_fit_add_SMILES,silly
CCO(CC)C(C)C(C)C(C)C,1.0
CCSC(C)CCCO(C)C,1.0
CNOC(CNCN)C(N)O(Cl)Cl,1.0
CCO(C)C(C)OCC(C)C,1.0
CCO(CO)CCCOCC(C)O,1.0
CCN(CC(CO)CO)NCO(CC)NC,1.0
CCNC(COC)O(C)CC,1.0
CCO(C)C(C)(O)(CCN)NN,1.0
C=C(CCC1CC1)O(C)CC,1.0
CCOCC(C)(C=N)(CN)CN,1.0
CCCCNC(O)N(CC)C(=N)O(C)C=O,1.0
CCNC1NCC(O)C1O(C)OC1CC1,1.0
CCCCO(COCOCC)C(C)=O,1.0
COC(OC)C(C)(O)(O)CC(C)OCO,1.0
CC(C)(O)(O)C(=N)NCC(N)CC=N,1.0
CCN(CC=O)CNC(CO(C)CC(C)O)NC,1.0
CNCCO(COC)NC,1.0
CNCC(=O)COO(C)C,1.0
C=CC(CC)(CFC)C(C)=N,1.0
C=COC(O)(CCO(C)CN)NCC,1.0
C=C(C=CC)O(C)CC,1.0
C=CCCO(C)C(=C)CC(O)C(C)C(C)O,1.0
CCN(C(C)=N)C(C)OC(O)O(C)CN,1.0
C=C(C=COCC)O(C)CN(C)CO,1.0
CCCO(C)CNCNC,1.0
CCC(CC)C(OC)OCO(C)C(C)CC,1.0
C=C(CNNC)O(CN)C(NN)C1CC1CCCN,1.0
CCC(C)C(O)CCCNO(CC)CNC,1.0
CNC(C)C(C)(C)C(COC)C(N)O(C)CNN,1.0
C=COCCCO(C)CC=N,1.0
C=CC(C)(C)(C)CCCCC,1.0
CCCCO(CC)CC(N)=O,1.0
CCNCOCN(C)C(O)O(C)C,1.0
CCC(O)CC(O)O(CCN)CCCNCCO,1.0
CCOCO(C)CNCCO,1.0
CC(O)CCC(N)CCO(C)C(C)CN,1.0
C#CCC(C)CCC1C(C)CC1CC(C)(N)(N)CC,1.0
C=C(CCC)C(CCOC)CO(C)CC,1.0
C=CNC(=C)C(C)CO(C)CC(=C)CO(C)C,1.0
C=CC(C)OCC(C)CCO(C)CCO,1.0
C.CCCN(C)(C)(C)C,1.0
C=C(C)NOCNCO(C)CCN,1.0
COCC(C)C(C[SH](N)SCO(C)CO)C(C)CN,1.0
CCC(C)CCOCO(C)C,1.0
CCCO(C)NC(=COC)CC(O)CNC,1.0
CCCOC(C)O(C)CCC,1.0
C=C(N)OCC(NN)c1CC(NCO(C)C(C)CCCN)N1,1.0
CC[SH](C)CC,0.6666666666666666
CCC[SH](C)C,0.6363636363636364
C.CCC(C)[SH](C)CC,0.6
CC12CC13N(NCCNC1NN1)C23NN,0.5882352941176471
CON(CO)NC(O)[SH](C)C,0.5833333333333334
COCNNCNCN(C)N(C)C,0.5833333333333334
C=NNC(NC)NC12CCC1(O)C2(C)NC(C)O,0.5833333333333334
OOCNCNCN(O)CC12C=CC1C2,0.5833333333333334
CC(C)(C)[CH][SH]COCSCO,0.5769230769230769
CNC(NNN)N(CN)NC,0.5652173913043478
CN(C=N)C(N)N(N)N,0.5555555555555556
COCNCNCC(O)C(O)(O)C(OC)OC,0.5517241379310345
C=C[SH](CN)CNCNCC(N)CN,0.5517241379310345
C=C(C=N)CN(CON)C(CN)(C(C=O)NCO)C(C)C(C)=O,0.5490196078431373
CC(N)NCSC(C)(C[SH][O])C(C)O,0.5483870967741935
[O][SH]CSCNCCO,0.5454545454545454
CCNC(C=CNC)NCNC,0.5416666666666666
CCOCNC(CNC(C)OC)OC,0.5384615384615384
CN=CNC(N)(NC)NC,0.5263157894736842
N=CNCC(O)NCC(N)O,0.5217391304347826
CN(C)CNCNCN(C=O)CO,0.52
CC(C)N[SH](OCOCN)N(C)C,0.5185185185185185
[CH2][S](O)CCOC(OOC)C(O)O,0.5185185185185185
[CH]=NC(N)N[SH](COC)CC(=O)CO,0.5142857142857142
CON(C)C(CN)N(CNCN(C)C)NCCO,0.5142857142857142
C=CNC(=C)C(C(=C)C)C(C)C,0.5
CC=C=CCC,0.5
COC#CNCC1(O)CC1CCC1(N)NO1,0.5
C.CC,0.5
CCC(CC=O)CC(C)C=O,0.5
C=CC(CO)SC(CC(O)C(C)O)C(C)SO,0.5
COC1(CCC2(OC)NO2)CO1,0.5
C=CNC(C)(NC)NC,0.5
C=NC(OC)N(C)[N+](C)(C)CO,0.5
C#C[N+](C)(CO)C(C)(CC)[N+](C)(O)CO,0.5
NCC#CO,0.5
CCN(CO)[N+](C)(CC)CO,0.5
C=C(C(C)C)C(C)C(C)OC,0.5
C=NCNC(CC)SC,0.5
CCNCNCOCNC,0.5
C.CCNN(C)N(C)C,0.5
CNC(N)C(C(C)OC)C(OC)C(C)=O,0.5
C=CNCN(CN(C)NC)C(C)CC,0.5
CNC(CCN(NO)C(O)NCO)(OC)N(C)C(N)NC(C)C,0.4888888888888889
N#C[N+](CN)(CO)COCC(=O)CC1C=C1,0.4864864864864865
CCC(C)(NCCC(C)(NCN)OC)C(C)OC,0.48484848484848486
CCNCN(C)C1C2CC(C(C)NC)C21,0.48484848484848486
CCC(C)COC(C)(C)OC=CCC(C)O,0.4838709677419355
C=CN(CC)CC(NCOCC)OCC,0.4838709677419355
C=CN(CC)C(C)C1C2CC21N(C)C,0.4838709677419355
C.CCC(C)C(N)C(C(O)NCO)C(C)OC,0.4838709677419355
C=NCCNC(NNN)C(O)CO,0.4827586206896552
C=CN(CC)CC(CNS)N(C)CC,0.4827586206896552
COC1(NC(C)(NC(C)(NC(C)C)OC)OC)CC1,0.4827586206896552
CC(C=N)c1ccn2c1OC2,0.4827586206896552
CC=C=CC(CC)CC(C)NCC,0.48148148148148145
C=CCNCCC(NC=C)OC,0.48148148148148145
COC(C)(N(C)CN)C(C)(C)CNCN,0.48148148148148145
CNCNCN(NCN)C(C)=O,0.48148148148148145
CCNC(C)N(C)N(CO)C(C)O,0.48
CCC(N(N)CC)N(O)CNC,0.48
COCN(C)NC(C)NCO,0.48
C=NC(CC(C)CC)N=CO,0.48
CCC(C)[SH](C)CCN(C)C,0.47619047619047616
C.CNC=CC(C)(C)CN(C)C,0.47619047619047616
C=CC1(C)NC(C)NC1C,0.47619047619047616
[CH]=NCC(C)CC(C)CC,0.47368421052631576
CCCOCN(C)N(C)CC,0.47368421052631576
CNCN(CNC)CNCN(CO)CO,0.47368421052631576
CNC(N)C(N)C(NC)N(C)C,0.47368421052631576
CON(C)NC1=NCC1CC(O)NCN,0.47368421052631576
CNNC(C=O)OC,0.47368421052631576
CCOC(C(C)=NC(C)NCO)C(C)C(=N)N,0.4722222222222222
C=CC1NC(NC=CCC(C)CC)C1NC,0.4722222222222222
CCN(C)C=C=O,0.47058823529411764
C.CCC=C=C(C)CC,0.47058823529411764
CCC(C)C(C(N)CC=N)C(N)(CC)NC,0.46875
C=C(CCS[SH](C)OCCO)OC,0.4666666666666667
CCNCN(C)CCC(O)N(C)C(C)O,0.4642857142857143
CCC(NSCN(C)N)C(C)=N,0.4642857142857143
C=CC1(CC2(N)CC2NC)CC1,0.4642857142857143
C.CCCN(C)NC(ON(C)C)C(C)=O,0.4642857142857143
CCC(C)NCNCC(C)NCNCN(C)CC,0.4642857142857143
CNCCNC1C(OCNC)C1(C)NC,0.4642857142857143
CCC(NCO)C1CNC1CC,0.4642857142857143
CCC(N)(NC)C(N)(O)CCNOC,0.4642857142857143
CNC(CN(C)C(N)C(N)N)NCN,0.46153846153846156
C=CNNC[N+](C)(C)C(=O)CC,0.46153846153846156
CNC(C)N(C)CCNCN(C)N,0.46153846153846156
CC(CN(C)C=N)N(C)CNO,0.46153846153846156
CNC(CF)NC,0.46153846153846156
CCCC(CCC(C)O)(NC)C(C=O)OCNC,0.4594594594594595
C=CC(OCC)C(CC(=C=O)CS)OCCC,0.4594594594594595
CCCCN(NCC(C)(CC)NC)C(O)OOC,0.4594594594594595
CCC(=C=O)CCNCO,0.4583333333333333
C=CNC[N+](C)(C)C1CC1C,0.4583333333333333
CCN(C)COCNCOCN,0.4583333333333333
CC(C)COC(C)NNC(C)C=O,0.4583333333333333
COC(CNO)NCNN,0.4583333333333333
C=C(CC)CC(=C)C(C)C(C)CO,0.4583333333333333
CNC(N)CCNN(C)CN,0.4583333333333333
O=CC1C2=CC21C1CO1,0.4583333333333333
C=CC(C)=NCN(C=C)CC,0.4583333333333333
C=C(C)C1N2C(CCON(C)C)SC12O,0.45714285714285713
CNCNCC(CCC(C)N(C)N)=NCN,0.45714285714285713
C=NCNNC=CC(C)CCNCCCC,0.45714285714285713
C=CN(CN(CO)C(=C)N(C)CO)C(C)CC,0.45454545454545453
CCC(C)(CCC(O)O)OO,0.45454545454545453
CNCN(C)CN(C)C(C)(C)N,0.45454545454545453
CN(C)N1CC1,0.45454545454545453
CC=CN(C)CNCC,0.45
CCC1C2N1C21NC1(C)C,0.45
CNC(CO)NC(CO)NCO,0.45
CC(N)N(C)C[N+](C)(C)C(C)N,0.45
COC[N+](CNC=O)(NCO)C(=N)OC1CC1,0.45
CCNN(C)OCOC,0.45
CCC(C)=NC(C)C(O)O,0.45
[CH]=NCC(C)NC(C)O,0.45
CCC(=C=O)CCC(N)C(C)C(N)O,0.4482758620689655
CCNCN(CCC(C)O)NCN(C)C,0.4482758620689655
COCOC(C)C(C)C1CCN1N,0.4482758620689655
CCC(COC)C(C)OC1(C)CCC1(C)C,0.4482758620689655
CCC(C)=NC(CCNC(C)(N)NN)NCNC,0.4473684210526316
[CH]=NC(CC)C(C)C(N)CC(C)CN,0.4444444444444444
C=CCC(=C)CNCNCN(C)C,0.4444444444444444
CCNCC1C(C=CN)N1CC,0.4444444444444444
CCC(C)(O)N(NC)C(O)CNO,0.4444444444444444
C=CN(C)CNC=CCCCC,0.4444444444444444
CCCC(C)CCC(C)N(CO)OCC,0.4444444444444444
CCN=C(CC)C(OCC)C(O)CC,0.4444444444444444
C=C(COC)OC=C=C(O)CCOCC,0.4411764705882353
C=CC(C)CNC(O)OCNCC(C)CNCOC,0.4411764705882353
CCCNNCC(C)C=C=O,0.44
C#CC(CO)SOCCC,0.44
CCCOCNNCC(C)(C)OC,0.44
C#CC(CN)CCC(C)OCN,0.44
CC(CNCN)C1C=CN1,0.44
C=CCNCNC(CC)CC=C,0.44
CCN(C)CNS,0.4375
C=C(C)N(C)C(CC)O[S]([O])CNC,0.4375
COC1NC(NN(C)C)C2COC2O1,0.4375
C#C[N+](C)(C)C(C)C(C)C,0.4375
CSC(C)CNC(=N)NC12OC1C2(N)NO,0.4358974358974359
COC(C)OC(C)C=CCO,0.43478260869565216
CCNCC1(CC)NC1CC,0.43478260869565216
CCN=NN(C(C)=O)C(C)C,0.43478260869565216
C=CCC(CC)C(C)OC(C)C,0.43478260869565216
CN=C(C)C(CO)=NC(N)N,0.43478260869565216
CCC(C)C(NCN(N)CNNC)C(C)N,0.43333333333333335
CCC(=O)C(N)OCC(=O)N1CN1,0.43333333333333335
CSCCN(CN)CCCCOOSC,0.43333333333333335
CCNC(C)NCN(CCN)COC,0.43333333333333335
CNCC1C(NCO)NC1NC(C)CNCN,0.43243243243243246
CCCOCOC(CC)NCNN,0.42857142857142855
C=CNC(C(C)C(O)CNCC)[N+](C)(C)C=O,0.42857142857142855
C=CNCCNC(C)(NC)C(O)C(N)CNC,0.42857142857142855
CCC(NC)N(C)C(C)C(C)C,0.42857142857142855
CC(N)CC(C)CONC(C)CC(N)CN,0.42857142857142855
CCC(O[N+](C)(C)CC)N(C)C,0.42857142857142855
CCC(C)CNNC(C)C(CC)CC,0.42857142857142855
CCC(C(CCO)COC=O)C(C)C(C)COC,0.42857142857142855
COC(C)OCNCN,0.42857142857142855
CC=CNCC,0.42857142857142855
CC1C(NNCN)CC1(CC(=O)CCO)C(N)N,0.425
C=COCC(=O)C1(C=O)NC1NC,0.42424242424242425
C=C(CCCNCN)CC(=O)C(=O)NCC,0.42424242424242425
CC(CNC(C)([O])CCO)NCNC=O,0.42424242424242425
CCC(N)NCOCCOC(CN)NC(C)N,0.42424242424242425
[CH]=NCC(CC(O)CC)C(C)COCN,0.42424242424242425
C=CNC(C)N(C)C(C)(C)CN,0.4230769230769231
CCCCC(N)CNCNCNCN,0.4230769230769231
C=C(C)[N+](C)(CCCO)COO,0.4230769230769231
CCC1(C(=CN)CO)NCN1,0.4230769230769231
CCOC(C)(OC)C(C)CNOC,0.4230769230769231
C=C[N+](N)(CC)CNC(C)CC.N,0.4230769230769231
CCCONC1(OC)C2C(O)C21,0.4230769230769231
C=CC(=NCCCC)C(C)=NCC,0.4230769230769231
CCCCOCC(CC(=C=O)CCCNCN)C(=N)CC,0.4222222222222222
CC=C=C(CC)CCC,0.42105263157894735
C#CC(CC)CC(C)CC,0.42105263157894735
C=CN(C)CNCC,0.42105263157894735
CNC(CO)N(C)NC,0.42105263157894735
CNC(C)NC(C)(C)C(C)N,0.42105263157894735
CCC(N)NCC(NCN(C)COC)C(C)CCN,0.42105263157894735
C=CN(CNC(C)=O)C(NCNC=O)C(C)O,0.42105263157894735
C=CC=CNC(C)C(C)C,0.42105263157894735
C=CC1CC1CNCN(C=C)C(NC)NCC,0.42105263157894735
COC(C)C(C)(O)C(N)=CCC(C)CN,0.41935483870967744
C#CCCC[N+](C=C)(CC)C(O)C=C,0.41935483870967744
CCNCC[N+](C)(CCCC=O)C(C)=O,0.41935483870967744
C=C(CCOCC)CCC(=C)C(C)CCO,0.41935483870967744
C=CCC(C=C)C1(CC)CNC1O,0.41935483870967744
CCN(C)CN(C)C(C)CNCOCN,0.41935483870967744
C=NNCCC(C)NCO,0.4166666666666667
C#COCN(CC)CNC,0.4166666666666667
CCN=C(C)C,0.4166666666666667
CC(=NCN)C1CC(N)N1,0.4166666666666667
COC(N)N(CO)CC(C)O,0.4166666666666667
CCN(C)C(CO)(CCO)NC,0.4166666666666667
C=CC=CCOC1C2C(CN)C23NCC13C(C)CCO,0.4166666666666667
C.C=C(CCC)CCC(C)=NCO,0.4166666666666667
CCN=C(C)C,0.4166666666666667
CCN[N+](C)(C)C,0.4166666666666667
C=CCCNCNCNCC(C)C,0.4166666666666667
CCCC(N)NC(C)NC(CNC)OCC(CCO)OC,0.4146341463414634
CCCNC(CCO)N(CN)NC,0.41379310344827586
CCNN(COC)C(O)C(C)(CO)CO,0.41379310344827586
CCNCN(CNC)CNC,0.4117647058823529
C=C1N(C)N1N(C)C(O)NCCCCNCO,0.4117647058823529
C=C(O)C(C)CCC(=C)C(OC)OCCCC,0.4117647058823529
CCC(C)(NC)C(C)(O)O,0.4117647058823529
CCNC(C)N1CNC1(C)NC(CN)COC,0.41025641025641024
CNCOCNCC(C)O,0.4090909090909091
CC(CC=N)C(O)=NO,0.4090909090909091
CCC(C)NC(C)N(C)C(C)O.CCO,0.4090909090909091
CCCC(C)OC(C=O)CCC,0.4090909090909091
C.CCOCCC(NC)OCC,0.4090909090909091
CCCCN=C(C)C(CO)(CNCOCC)N(C)C=O,0.4090909090909091
CCCCC(C)CC=CC(C)CCN,0.4074074074074074
CNC(C)(O)CC(N)NCOC,0.4074074074074074
CCCC(C)C(NOCC)C(N)O,0.4074074074074074
C=CC(C)(CO)OSCCCO,0.4074074074074074
CC(SCC1(N)NC1C)C1(N)CC1,0.4074074074074074
CC(C=C=O)C(C)OCCCO,0.4074074074074074
C#CNCN(C)CC(=C)C(=C)N,0.4074074074074074
CCCC(C)(C#N)C(C)(C=N)CN,0.4074074074074074
C=C(CC)N(CO)C[N+](C)(C)CCO,0.4074074074074074
CCNC(O)NCCNCN(CO)CO,0.4074074074074074
NCNCC(O)C(=O)NC(N)CN,0.4074074074074074
C=CCC[N+](C)(C=C)C(CC)NC,0.4074074074074074
CCCNC=CC(C)(CC)CCO,0.4074074074074074
C=CC(CN)CCCNCNCNC(C)C,0.40625
CCC(=O)C(=O)C1C(C)C(CNC)C1N(C)C,0.40625
CCC(COCC(C=N)N(C)CNC)NCO,0.40540540540540543
C=C(CCCOCCOOC)OC,0.4
CCOCCNN(CC)CC,0.4
CCN(C)C(NCOC)N(C)O,0.4
CNC(C)C(C)(C=O)NC,0.4
CCNC(CC)N(C)C(C)C,0.4
CCC[N+](C)(C)CN,0.4
CCNCC(C)=CNCC(C)C,0.4
CC=C=CCCC1(CCOC)CO1,0.4
CNCC(C)N(CO)CNCO,0.4
CCNOC(C)(N)C(O)NC,0.4
CCON(C)C(CO)C(NCCCNC)OC,0.4
CCN(C)C(C(N)CN)N(C=O)NC,0.4
CCNC(CC)C(N)(CC)CCN,0.4
CCOC(N)CC1=CC1C(O)N(C)CO,0.4
CCOCC1(C)C=C1C,0.4
CCC(O)C(O)CCNC(C)N(C)C=O,0.4
C=C(N)C(=C)CCNC1(C)CC1,0.4
CCOOCCNCN,0.4
CCNCC(N)(CC)NC,0.4
CCCNN(C=O)C(O)CN(C)CC,0.4
CNCCOC(N)CCNCC=O,0.4
CCC(CC)C(O)(O)CC,0.4
C=CCCC(C=O)=CC(N)(CCO)OC,0.4
CCCNOCC(N)(NC(C)CCN)C(O)O,0.4
CCCNC(CCNCCCN)NCC#CO,0.4
COC(N)C(O)COCN(C)C,0.4
CCOCN(COCC)C(N)CC,0.4
C=C(C)CCOCC(O)OC,0.4
C=CC(CC)OCOCCC(C)OC,0.4
CC(C)OCN(C)C=N,0.4
CNCC=CCCC1(C)NC1CN,0.4
C=C[N+](CCO)(CCCCCO)C(C)NC(N)N,0.3939393939393939
C=COC(C)(CC)NCC(=N)NCN,0.3939393939393939
C=C(C(C)CO)C(C)CNC(C)C(N)N(C)CO,0.3939393939393939
COCC(C)(O)NCCNC(C)NCNN,0.3939393939393939
CCC(C)C(CCCl)CCNNCN,0.39285714285714285
CCN(NC(O)N(CC)C(C)C)C(=O)O,0.39285714285714285
CNCOCC(CNC)C(N)NC(C)C,0.39285714285714285
CCCC1OC1NC(NC)OC,0.39285714285714285
CCC(OCCCS)OC(C)CC(C)C,0.39285714285714285
CCC(C=O)C(C)C12CC1C2O,0.39285714285714285
CCC(CCO)C(CO)C1(CC)CO1,0.39285714285714285
C#CN(CC)C(N)CCN,0.391304347826087
OCCCC1CSCO1,0.391304347826087
CCCC(CC(COCC)OC)OC,0.391304347826087
C=CN=C(C)CC(C)CC,0.391304347826087
CCNCN(CC)C(C)OC,0.391304347826087
CCCNC(NC)NCOC,0.391304347826087
CNCOCNCNCCN,0.391304347826087
C=C(CCCOC)NCOCCC1COCNCCN1,0.391304347826087
CCN(COC)CSCN,0.391304347826087
CCC(O)C(CC)CC(C)C=O,0.391304347826087
CCNC(N)C(O)C=CO,0.391304347826087
C=CC(CC)C(CC)C(C)CCC,0.391304347826087
C.[CH2][SH]C(C)(O)CCC,0.3888888888888889
CCNN(C)C(C)CC,0.3888888888888889
